time,pt,px,py,x,y,z,,
1719525817.136,0.51695372,-1.081343602,-0.998220925,0.205831051,-0.942379951,1.78458643,,18
1719525817.146,0.506737027,-1.072375296,-0.997210087,0.182474613,-0.943929672,1.77517581,,19
1719525817.156,0.496591535,-1.064389744,-0.996986302,0.159541607,-0.945498466,1.76503849,,20
1719525817.166,0.486462072,-1.057689447,-0.996730028,0.136005402,-0.946424007,1.753635526,,21
1719525817.176,0.476340117,-1.051100048,-0.995825687,0.113649845,-0.946519852,1.741187334,,22
1719525817.187,0.465452442,-1.045051657,-0.996929925,0.089156628,-0.95016861,1.728311062,,23
1719525817.196,0.456395221,-1.041450066,-0.998693219,0.065326214,-0.952597618,1.714103341,,24
1719525817.206,0.446407206,-1.037355295,-0.998706112,0.043700695,-0.951323509,1.699461102,,25
1719525817.216,0.436420919,-1.034241583,-0.999624388,0.01949501,-0.954093456,1.683247685,,26
1719525817.226,0.426394153,-1.030865996,-0.999843993,-0.002828121,-0.954154491,1.66551733,,27
1719525817.236,0.416425778,-1.027172086,-0.999407909,-0.024269104,-0.953875065,1.647991419,,28
1719525817.246,0.406438365,-1.022460471,-0.997509784,-0.044058323,-0.951260567,1.628587484,,29
1719525817.256,0.396443733,-1.018315073,-0.996457218,-0.06703186,-0.95352602,1.608249307,,30
1719525817.266,0.386486893,-1.014914523,-0.996301195,-0.090446949,-0.95646143,1.587624073,,31
1719525817.276,0.376536511,-1.011522337,-0.995953167,-0.112226486,-0.956826687,1.565669179,,32
1719525817.286,0.365445732,-1.012014877,-0.997196523,-0.154685974,-0.963039398,1.52085197,,33
1719525817.297,0.353631013,-1.011231309,-0.998383542,-0.1760149,-0.964680672,1.495903969,,34
1719525817.306,0.343854843,-1.010491528,-0.999224388,-0.197955608,-0.965181351,1.470595002,,35
1719525817.316,0.333212131,-1.009625381,-0.999607123,-0.220674515,-0.965029716,1.444239855,,36
1719525817.326,0.322661966,-1.008452784,-0.999890209,-0.242718697,-0.965965271,1.416342258,,37
1719525817.336,0.311986059,-1.007078859,-0.999940031,-0.265311241,-0.96625948,1.387043357,,38
1719525817.346,0.301612888,-1.005158126,-1.000255738,-0.285315514,-0.968599796,1.357965827,,39
1719525817.356,0.291320079,-1.003038637,-1.000524435,-0.306380749,-0.969687223,1.327939987,,40
1719525817.366,0.280972817,-1.000968965,-1.000537342,-0.328905106,-0.969683409,1.296023369,,41
1719525817.376,0.27076198,-0.998764465,-1.000444045,-0.350257397,-0.970221519,1.263123751,,42
1719525817.386,0.260481271,-0.996413861,-1.000325155,-0.371162415,-0.971097231,1.229946256,,43
1719525817.396,0.250376283,-0.993924479,-1.000270258,-0.39162755,-0.972470999,1.195959568,,44
1719525817.406,0.240226182,-0.991450657,-1.000216696,-0.412755966,-0.973514318,1.161367655,,45
1719525817.416,0.230203337,-0.988900992,-1.000245742,-0.433301687,-0.975106716,1.12519598,,46
1719525817.426,0.220200233,-0.986257518,-1.000320665,-0.453522682,-0.976543188,1.088004827,,47
1719525817.436,0.210230869,-0.983712243,-1.000249775,-0.474621773,-0.976611137,1.050596952,,48
1719525817.446,0.200282602,-0.981271536,-1.000073022,-0.495917559,-0.976803064,1.011839986,,49
1719525817.456,0.190338618,-0.97885867,-0.999882505,-0.516853809,-0.977604389,0.971472979,,50
1719525817.466,0.180409351,-0.976380824,-0.99974853,-0.536701202,-0.978964567,0.930693746,,51
1719525817.476,0.170502473,-0.973814865,-0.999716228,-0.555926323,-0.980789185,0.8894611,,52
1719525817.486,0.160601604,-0.97137608,-0.999584346,-0.577179909,-0.980902672,0.846506774,,53
1719525817.496,0.15070513,-0.968983872,-0.999392661,-0.597718477,-0.981247783,0.802564502,,54
1719525817.506,0.140819238,-0.966571468,-0.999209367,-0.617349029,-0.982174516,0.75811249,,55
1719525817.516,0.130948199,-0.964117375,-0.99905761,-0.636484265,-0.983344555,0.712972343,,56
1719525817.526,0.121092356,-0.961710807,-0.998911239,-0.656300664,-0.984264255,0.667136431,,57
1719525817.536,0.111249788,-0.959353733,-0.998819031,-0.676097751,-0.985745668,0.620304942,,58
1719525817.546,0.101409705,-0.956954469,-0.99881476,-0.694983721,-0.987728238,0.571892977,,59
1719525817.556,0.091578201,-0.954550608,-0.998805458,-0.71394062,-0.988696575,0.523015201,,60
1719525817.566,0.081762596,-0.952285798,-0.99869542,-0.734356642,-0.988403678,0.473855197,,61
1719525817.576,0.071951772,-0.950113036,-0.998527679,-0.754535556,-0.988512874,0.42300719,,62
1719525817.586,0.062142534,-0.947940962,-0.998414917,-0.773531795,-0.990083575,0.371059299,,63
