编号,扭矩,刹车角度,抛球高度,抛球距离
0,-12,55,1.70843935120012,2.71578704416703
1,-12,55,1.7281329838288,2.86660853447859
2,-12,60,1.69219956529079,2.30722792991789
3,-12,65,1.65746520158778,1.72963930271096
4,-11.2204660574621,59,1.72082707795378,2.21615518672289
5,-11.179607479676,62,1.72217264656729,2.03125592644274
6,-10.3809998329401,60,1.68352586943856,2.08077853591403
7,-10.2947502406991,57,1.70708243453515,2.51304587893109
9,-10.3974788681444,55,1.70275445526527,2.62452966267484
10,-10.6183130964856,62,1.67684537137811,1.76298671951357
11,-11.2441031860518,58,1.69614967579695,2.38776240804224
12,-10.1827096166137,59,1.70574981399007,2.22047617976175
13,-10.3795146265029,63,1.61673861729451,1.75685119822043
14,-10.2290145435961,56,1.72845199649396,2.43487663821706
15,-10.895921369949,59,1.70431872555192,2.28451136491191
16,-11.9387620743197,64,1.63042318612374,1.77207086911123
17,-10.9734036688937,58,1.73376385288627,2.4088267640215
18,-11.9316276455214,65,1.61932584060989,1.68259312160472
19,-10.0916676952125,57,1.7091523356682,2.41254539967765
20,-11.7235887242865,58,1.725715519283,2.28781729787233
21,-11.2555876558492,59,1.70182640470684,2.23963527740983
22,-11.7600314001028,62,1.65931197742634,1.99114151130333
23,-11.5378505100981,57,1.64955766327259,2.5410685832636
24,-10.5593049372696,64,1.64760698609215,1.64552974979868
25,-11.5428815566302,64,1.65996938963807,1.80554762966878
26,-10.0169207113818,63,1.60350575121216,1.58466873166646
27,-11.0689262874912,57,1.7208689486413,2.46088352918784
28,-10.7387427477216,64,1.63496559012808,1.69450155902462
29,-11.5832058464287,61,1.68144612476054,2.04900604909654
30,-11.6808900599228,61,1.72125627417163,2.02263747189429
31,-10.0952266981103,65,1.58303887501463,1.59810955782113
32,-10.361140227997,57,1.73115800380333,2.44568358686461
33,-10.3295351270359,59,1.74233743236018,2.07875324510479
34,-11.3296825091243,60,1.70140212244046,1.99119399031261
35,-10.144907379244,62,1.65394514939863,1.81721212806491
36,-11.2204952473198,64,1.63291506061426,1.67879713889663
37,-10.7532168395918,58,1.75212334213042,2.30632672445782
38,-10.8395825229886,58,1.71834547240161,2.37792076410614
39,-10.3040575935055,65,1.57112135649853,1.5561874286033
40,-10.920372802903,56,1.69828622067558,2.56974541815201
41,-10.0745777077315,62,1.64684418308754,1.7266004874204
42,-11.3363120891339,55,1.67960163934329,2.71552778262526
43,-10.034628995296,65,1.55962175362945,1.46798611298996
44,-11.1867481810203,62,1.71246707275184,1.97552879660154
45,-11.2698668739838,58,1.72819364438551,2.35104227303962
46,-11.5645681051205,64,1.64082776754048,1.76611596263972
47,-10.4948951241526,58,1.70232791233436,2.36868189355725
48,-11.5976090446137,64,1.66740332923004,1.81341000565935
49,-11.6090949070485,57,1.72726004806554,2.51412840191359
50,-10.1939229298561,55,1.71833859868418,2.74520092877432
51,-11.3904780053093,59,1.71649668989336,2.28369268407753
53,-10.8872638997254,59,1.74227091896289,2.22314345898443
54,-11.7531553461636,59,1.62403619822592,2.30273145033018
55,-10.0247097996802,64,1.54191166697611,1.48919615971319
57,-11.1755332670952,63,1.64938078764302,1.70412646335611
58,-11.8832672795486,62,1.68559542877924,1.92929781664679
60,-11.4699806186076,62,1.65496499457662,1.90710144337836
62,-10.7566763451492,61,1.65459415837987,1.89236022073486
64,-10.9503872410062,56,1.70329590255401,2.42219197342011
66,-10.9509688632262,64,1.62039103663321,1.68869716993199
67,-11.5211633422287,56,1.68785537665594,2.54304144025522
68,-10.0435866381009,58,1.72845200601791,2.14482136999687
69,-11.5552268936447,62,1.66473739668321,1.90493559489933
70,-11.1621593970902,64,1.63338053631455,1.62762551117755
71,-11.8473343349643,63,1.69599992163667,1.84832703146504
72,-11.9162864693377,55,1.65757502882499,2.6952726837755
73,-10.3956694167436,60,1.69522430163604,2.11620163377794
74,-11.2991152953658,61,1.70918143398442,2.08812545581526
75,-10.9033911827068,60,1.67764227496081,2.18050253209671
76,-11.504082593944,57,1.69490478191974,2.51183755926131
77,-11.3177147233737,56,1.67313757167103,2.61889188543164
78,-10.6410561071741,64,1.6208367036191,1.59217256873482
80,-11.6429024326336,62,1.65184220916509,1.90317402688229
82,-11.1086330426108,61,1.67730297767915,1.94794715748522
83,-10.1409062619491,64,1.62778781668875,1.52837482854076
84,-10.2965246537789,56,1.71262048586321,2.5212816518679
85,-10.7816880710054,63,1.64190296598097,1.69387264908986
86,-10.3835970499146,58,1.72638939374175,2.12601990791938
87,-10.5949190527564,57,1.68448298773377,2.42883494201591
88,-10.9382031700276,65,1.62259841085077,1.66384128002379
90,-10.3442308464724,57,1.71161573038465,2.43028324435126
91,-10.1985856372246,65,1.60730966910638,1.52358910811229
92,-10.6757507997497,57,1.72559952716374,2.376017013152
93,-11.6860438742155,62,1.67088882916332,1.96378770124683
94,-11.9530631816098,63,1.5959449698307,1.75336580450681
95,-10.4719185010216,56,1.63592922531225,2.48367996312509
96,-10.9228915439326,64,1.65363531144356,1.61685506440351
97,-10.3544479554512,65,1.53816342091325,1.45402533093305
98,-11.4176179973959,58,1.70214525691804,2.30192128130043
99,-11.4837067245939,56,1.65362189330068,2.6507138161148
